local,genero,data,salario
"*, *, *",*,*/*/*,$2100.45
"*, *, *",*,*/*/*,$7913.17
"*, *, *",*,*/*/*,$5677.54
"*, *, *",*,*/*/*,$3993.28
"*, *, *",*,*/*/*,$6657.46
"*, *, *",*,*/*/*,$4047.44
"*, *, *",*,*/*/*,$5563.83
"*, *, *",*,*/*/*,$5772.69
"*, *, *",*,*/*/*,$7847.46
"*, *, *",*,*/*/*,$7539.41
"*, *, *",*,*/*/*,$1133.30
"*, *, *",*,*/*/*,$2894.36
"*, *, *",*,*/*/*,$4627.92
"*, *, *",*,*/*/*,$983.67
"*, *, *",*,*/*/*,$4100.69
"*, *, *",*,*/*/*,$7209.03
"*, *, *",*,*/*/*,$1059.41
"*, *, *",*,*/*/*,$6068.22
"*, *, *",*,*/*/*,$4941.92
"*, *, *",*,*/*/*,$4000.92
"*, *, *",*,*/*/*,$6235.09
"*, *, *",*,*/*/*,$7700.50
"*, *, *",*,*/*/*,$2881.34
"*, *, *",*,*/*/*,$6749.17
"*, *, *",*,*/*/*,$2926.75
"*, *, *",*,*/*/*,$3427.50
"*, *, *",*,*/*/*,$3306.51
"*, *, *",*,*/*/*,$7638.46
"*, *, *",*,*/*/*,$2697.06
"*, *, *",*,*/*/*,$1318.68
"*, *, *",*,*/*/*,$2891.78
"*, *, *",*,*/*/*,$3036.16
"*, *, *",*,*/*/*,$4199.58
"*, *, *",*,*/*/*,$1715.64
"*, *, *",*,*/*/*,$4022.26
"*, *, *",*,*/*/*,$1348.47
"*, *, *",*,*/*/*,$7157.05
"*, *, *",*,*/*/*,$7827.47
"*, *, *",*,*/*/*,$6594.48
"*, *, *",*,*/*/*,$4305.72
"*, *, *",*,*/*/*,$4117.83
"*, *, *",*,*/*/*,$4178.43
"*, *, *",*,*/*/*,$2934.66
"*, *, *",*,*/*/*,$3472.73
"*, *, *",*,*/*/*,$4689.02
"*, *, *",*,*/*/*,$3223.62
"*, *, *",*,*/*/*,$6968.33
"*, *, *",*,*/*/*,$7653.00
"*, *, Sweden",*,*/*/*,$5240.94
"*, *, Sweden",*,*/*/*,$5126.92
"*, *, Sweden",*,*/*/*,$7268.00
"*, *, Sweden",*,*/*/*,$2350.70
"*, *, Sweden",*,*/*/*,$7586.61
"*, *, Sweden",*,*/*/*,$6062.26
"*, *, Sweden",*,*/*/*,$6059.58
"*, *, Sweden",*,*/*/*,$4382.96
"*, *, Sweden",*,*/*/*,$4161.69
"*, *, Sweden",*,*/*/*,$6869.03
"*, *, Sweden",*,*/*/*,$5891.65
"*, *, Sweden",*,*/*/*,$5268.12
"*, *, Sweden",*,*/*/*,$6651.08
"*, *, Sweden",*,*/*/*,$6190.47
"*, *, Sweden",*,*/*/*,$4250.40
"*, *, Sweden",*,*/*/*,$3689.16
"*, *, Sweden",*,*/*/*,$7155.79
"*, *, *",Female,*/*/*,$7801.31
"*, *, *",Female,*/*/*,$3909.93
"*, *, *",Female,*/*/*,$4468.31
"*, *, *",Female,*/*/*,$3625.99
"*, *, *",Female,*/*/*,$1310.34
"*, *, *",Female,*/*/*,$6431.42
"*, *, *",Female,*/*/*,$4762.01
"*, *, *",Female,*/*/*,$1385.71
"*, *, *",Female,*/*/*,$7370.54
"*, *, *",Female,*/*/*,$2690.43
"*, *, *",Female,*/*/*,$7292.50
"*, *, *",Female,*/*/*,$2184.75
"*, *, *",Female,*/*/*,$4240.55
"*, *, *",Female,*/*/*,$5727.15
"*, *, *",Female,*/*/*,$7327.12
"*, *, *",Female,*/*/*,$7096.91
"*, *, *",*,*/*/*,$4518.41
"*, *, *",*,*/*/*,$2471.10
"*, *, *",*,*/*/*,$4725.00
"*, *, *",*,*/*/*,$2329.05
"*, *, *",*,*/*/*,$7795.42
"*, *, *",*,*/*/*,$1242.05
"*, *, *",*,*/*/*,$5891.93
"*, *, *",*,*/*/*,$7881.42
"*, *, *",*,*/*/*,$7382.35
"*, *, *",*,*/*/*,$2201.87
"*, *, *",*,*/*/*,$2004.14
"*, *, *",*,*/*/*,$7418.79
"*, *, *",*,*/*/*,$4627.31
"*, *, *",*,*/*/*,$1213.00
"*, *, *",*,*/*/*,$1191.96
"*, *, *",*,*/*/*,$6148.93
"*, *, *",*,*/*/*,$3849.89
"*, *, *",Female,*/*/*,$1798.82
"*, *, *",Female,*/*/*,$7553.46
"*, *, *",Female,*/*/*,$1430.78
"*, *, *",Female,*/*/*,$4874.88
"*, *, *",Female,*/*/*,$6552.66
"*, *, *",Female,*/*/*,$7758.57
"*, *, *",Female,*/*/*,$1973.45
"*, *, *",Female,*/*/*,$4407.88
"*, *, *",Female,*/*/*,$1322.83
"*, *, *",Female,*/*/*,$7649.68
"*, *, *",Female,*/*/*,$1900.48
"*, *, *",Female,*/*/*,$2250.17
"*, *, *",Female,*/*/*,$1609.66
"*, *, *",Female,*/*/*,$7475.57
"*, *, *",Female,*/*/*,$2803.76
"*, *, *",Female,*/*/*,$2541.75
"*, *, *",*,*/*/*,$5471.10
"*, *, *",*,*/*/*,$5609.60
"*, *, *",*,*/*/*,$2729.76
"*, *, *",*,*/*/*,$2495.07
"*, *, *",*,*/*/*,$3112.29
"*, *, *",*,*/*/*,$5428.38
"*, *, *",*,*/*/*,$3435.26
"*, *, *",*,*/*/*,$4324.50
"*, *, *",*,*/*/*,$1509.69
"*, *, *",*,*/*/*,$3334.96
"*, *, *",*,*/*/*,$1112.80
"*, *, *",*,*/*/*,$1031.51
"*, *, *",*,*/*/*,$5805.91
"*, *, *",*,*/*/*,$3591.60
"*, *, *",*,*/*/*,$3912.08
"*, *, *",*,*/*/*,$5196.14
"*, *, *",*,*/*/*,$4370.17
"*, *, *",*,*/*/*,$3717.17
"*, *, *",*,*/*/*,$2106.68
"*, *, *",*,*/*/*,$6999.54
"*, *, *",*,*/*/*,$2454.18
"*, *, *",*,*/*/*,$5746.59
"*, *, *",*,*/*/*,$7070.82
"*, *, *",*,*/*/*,$7831.28
"*, *, *",*,*/*/*,$7833.82
"*, *, *",*,*/*/*,$2534.88
"*, *, *",*,*/*/*,$3591.12
"*, *, *",*,*/*/*,$5979.17
"*, *, *",*,*/*/*,$6907.90
"*, *, *",*,*/*/*,$3200.30
"*, *, *",*,*/*/*,$2944.40
"*, *, *",*,*/*/*,$6842.64
"*, *, Portugal",*,*/*/*,$4320.80
"*, *, Portugal",*,*/*/*,$1488.42
"*, *, Portugal",*,*/*/*,$3296.00
"*, *, Portugal",*,*/*/*,$3248.92
"*, *, Portugal",*,*/*/*,$7276.96
"*, *, Portugal",*,*/*/*,$7202.43
"*, *, Portugal",*,*/*/*,$1665.32
"*, *, Portugal",*,*/*/*,$4302.66
"*, *, Portugal",*,*/*/*,$3863.39
"*, *, Portugal",*,*/*/*,$5283.42
"*, *, Portugal",*,*/*/*,$2854.38
"*, *, Portugal",*,*/*/*,$948.41
"*, *, Portugal",*,*/*/*,$7233.37
"*, *, Portugal",*,*/*/*,$1684.26
"*, *, Portugal",*,*/*/*,$4930.40
"*, *, Portugal",*,*/*/*,$4764.60
"*, *, *",*,*/*/*,$3055.75
"*, *, *",*,*/*/*,$5447.93
"*, *, *",*,*/*/*,$1484.69
"*, *, *",*,*/*/*,$5399.22
"*, *, *",*,*/*/*,$5763.40
"*, *, *",*,*/*/*,$2849.06
"*, *, *",*,*/*/*,$3747.55
"*, *, *",*,*/*/*,$2565.78
"*, *, *",*,*/*/*,$6410.80
"*, *, *",*,*/*/*,$1355.25
"*, *, *",*,*/*/*,$5368.06
"*, *, *",*,*/*/*,$5503.12
"*, *, *",*,*/*/*,$1160.10
"*, *, *",*,*/*/*,$2671.01
"*, *, *",*,*/*/*,$4630.99
"*, *, *",*,*/*/*,$3827.17
"*, *, *",*,*/*/*,$7519.69
"*, *, *",*,*/*/*,$2655.12
"*, *, *",*,*/*/*,$5620.85
"*, *, *",*,*/*/*,$6336.71
"*, *, *",*,*/*/*,$5485.14
"*, *, *",*,*/*/*,$6712.81
"*, *, *",*,*/*/*,$5216.68
"*, *, *",*,*/*/*,$5410.56
"*, *, *",*,*/*/*,$3635.14
"*, *, *",*,*/*/*,$6424.69
"*, *, *",*,*/*/*,$2558.15
"*, *, *",*,*/*/*,$3812.30
"*, *, *",*,*/*/*,$4856.16
"*, *, *",*,*/*/*,$7680.45
"*, *, *",*,*/*/*,$6289.41
"*, *, *",*,*/*/*,$7512.12
"*, *, *",*,*/*/*,$7319.09
"*, *, *",*,*/*/*,$5788.73
"*, *, *",*,*/*/*,$4332.69
"*, *, *",*,*/*/*,$3878.76
"*, *, *",*,*/*/*,$4466.02
"*, *, *",*,*/*/*,$6030.61
"*, *, *",*,*/*/*,$5252.25
"*, *, *",*,*/*/*,$3567.38
"*, *, *",*,*/*/*,$6184.82
"*, *, *",*,*/*/*,$2363.38
