local,genero,data,salario
"*, Porto, Portugal",Male,*/*/*,$7779.56
"*, Porto, Portugal",Male,*/*/*,$7833.82
"*, *, Portugal",Male,*/*/1991,$7147.42
"*, *, Portugal",Male,*/*/1991,$6417.75
"*, *, Portugal",Female,*/05/2008,$6520.97
"*, *, Portugal",Female,*/05/2008,$7233.37
"*, *, Portugal",Male,*/*/2007,$7313.37
"*, *, Portugal",Male,*/*/2007,$4578.33
"*, Coimbra, Portugal",Female,*/*/2000,$5999.29
"*, Coimbra, Portugal",Female,*/*/2000,$3399.67
"*, Jalisco, Mexico",Female,*/*/*,$2174.45
"*, Jalisco, Mexico",Female,*/*/*,$2076.62
"*, Coimbra, Portugal",Female,*/*/*,$7198.71
"*, Coimbra, Portugal",Female,*/*/*,$3223.62
"*, *, Portugal",Male,*/12/1984,$3526.69
"*, *, Portugal",Male,*/12/1984,$2661.36
"Tibro, Västra Götaland, Sweden",Male,*/*/*,$3520.57
"Tibro, Västra Götaland, Sweden",Male,*/*/*,$7665.45
"Strasbourg, Alsace, France",Female,*/*/*,$1999.59
"Strasbourg, Alsace, France",Female,*/*/*,$3445.67
"*, Stockholm, Sweden",Female,*/*/*,$3765.74
"*, Stockholm, Sweden",Female,*/*/*,$4391.85
"*, Santarém, Portugal",Female,*/*/2000,$5964.41
"*, Santarém, Portugal",Female,*/*/2000,$3375.21
"*, *, Portugal",Male,*/10/1980,$6314.95
"*, *, Portugal",Male,*/10/1980,$6267.86
"*, *, Portugal",Female,*/11/2005,$6172.13
"*, *, Portugal",Female,*/11/2005,$5368.89
"*, Braga, Portugal",Male,*/*/*,$2142.15
"*, Braga, Portugal",Male,*/*/*,$3200.30
"*, Île-de-France, France",*,*/05/2003,$1768.62
"*, Île-de-France, France",*,*/05/2003,$1422.11
"*, Stockholm, Sweden",Male,*/*/1995,$3372.24
"*, Stockholm, Sweden",Male,*/*/1995,$6327.46
"*, *, Portugal",*,20/03/1990,$1245.80
"*, *, Portugal",*,20/03/1990,$1610.27
"*, *, Portugal",Male,*/04/1995,$2608.66
"*, *, Portugal",Male,*/04/1995,$2582.92
"*, *, Portugal",Female,*/01/1990,$6376.96
"*, *, Portugal",Female,*/01/1990,$3878.76
"*, North Carolina, United States",Male,*/*/*,$4879.74
"*, North Carolina, United States",Male,*/*/*,$5366.98
"Uppsala, Uppsala, Sweden",Female,*/*/*,$4109.65
"Uppsala, Uppsala, Sweden",Female,*/*/*,$2541.75
"São Paio de Gramaços, Coimbra, Portugal",Female,*/*/*,$2849.06
"São Paio de Gramaços, Coimbra, Portugal",Female,*/*/*,$7588.24
"*, *, Portugal",Male,*/*/1995,$4389.71
"*, *, Portugal",Male,*/*/1995,$6842.64
"Boulogne-Billancourt, Île-de-France, France",Male,*/*/*,$6769.72
"Boulogne-Billancourt, Île-de-France, France",Male,*/*/*,$7109.56
"*, Porto, Portugal",Male,*/*/*,$2263.59
"*, Porto, Portugal",Male,*/*/*,$2420.72
"*, Manitoba, Canada",Female,*/*/*,$7209.03
"*, Manitoba, Canada",Female,*/*/*,$983.67
"*, Stockholm, Sweden",Female,*/*/*,$5609.60
"*, Stockholm, Sweden",Female,*/*/*,$4848.93
"*, Coahuila De Zaragoza, Mexico",Male,*/*/*,$2435.84
"*, Coahuila De Zaragoza, Mexico",Male,*/*/*,$5328.86
"*, Île-de-France, France",*,*/01/2006,$1907.75
"*, Île-de-France, France",*,*/01/2006,$1492.88
"Rennes, Bretagne, France",Male,*/*/*,$5362.26
"Rennes, Bretagne, France",Male,*/*/*,$6712.81
"Quintães, Viana do Castelo, Portugal",Female,*/*/*,$4332.69
"Quintães, Viana do Castelo, Portugal",Female,*/*/*,$7319.09
"*, Vila Real, Portugal",Female,*/*/*,$6907.90
"*, Vila Real, Portugal",Female,*/*/*,$7539.41
"*, Coimbra, Portugal",Male,*/*/*,$7800.59
"*, Coimbra, Portugal",Male,*/*/*,$1809.17
"*, Alberta, Canada",Male,*/*/*,$6593.84
"*, Alberta, Canada",Male,*/*/*,$4910.20
"*, *, *",Male,*/04/1992,$3585.70
"*, *, *",Male,*/04/1992,$5169.65
"*, *, Sweden",Male,*/*/1983,$6293.42
"*, *, Sweden",Male,*/*/1983,$7922.29
"Detroit, Michigan, United States",Male,*/*/*,$2454.79
"Detroit, Michigan, United States",Male,*/*/*,$6235.09
"*, England, United Kingdom",Male,*/*/*,$3837.29
"*, England, United Kingdom",Male,*/*/*,$1735.93
"*, *, United States",Female,*/*/2009,$805.10
"*, *, United States",Female,*/*/2009,$4689.02
"*, Braga, Portugal",Female,*/*/*,$6105.52
"*, Braga, Portugal",Female,*/*/*,$7327.12
"Göteborg, Västra Götaland, Sweden",Female,*/*/*,$7586.61
"Göteborg, Västra Götaland, Sweden",Female,*/*/*,$5891.65
"Besançon, Franche-Comté, France",Male,*/*/*,$7537.16
"Besançon, Franche-Comté, France",Male,*/*/*,$5689.99
"*, Île-de-France, France",Female,*/*/2000,$2452.61
"*, Île-de-France, France",Female,*/*/2000,$5316.35
"*, Alberta, Canada",Female,*/*/*,$1385.71
"*, Alberta, Canada",Female,*/*/*,$4468.31
"*, *, Canada",Male,*/*/2002,$5937.25
"*, *, Canada",Male,*/*/2002,$3613.73
"Puteaux, Île-de-France, France",Male,*/*/*,$7503.54
"Puteaux, Île-de-France, France",Male,*/*/*,$7825.33
"*, *, *",Female,*/05/1986,$7049.85
"*, *, *",Female,*/05/1986,$7694.59
"*, Franche-Comté, France",Male,*/*/1989,$7125.73
"*, Franche-Comté, France",Male,*/*/1989,$3772.66
"*, *, France",Male,*/*/2004,$880.79
"*, *, France",Male,*/*/2004,$5054.87
"*, *, Mexico",Female,*/10/1996,$2667.16
"*, *, Mexico",Female,*/10/1996,$1780.40
"*, Île-de-France, France",Female,*/04/1981,$2654.98
"*, Île-de-France, France",Female,*/04/1981,$3435.34
"*, Ontario, Canada",Male,*/*/*,$6095.84
"*, Ontario, Canada",Male,*/*/*,$6383.39
"*, *, Portugal",Female,*/10/1980,$7622.47
"*, *, Portugal",Female,*/10/1980,$3090.80
"*, Île-de-France, France",Male,*/*/1983,$6946.23
"*, Île-de-France, France",Male,*/*/1983,$1020.66
"*, *, *",Female,*/02/2004,$7803.39
"*, *, *",Female,*/02/2004,$3435.26
"*, Québec, Canada",Female,*/*/1998,$2268.22
"*, Québec, Canada",Female,*/*/1998,$3976.35
"*, Östergötland, Sweden",Female,*/*/*,$1370.53
"*, Östergötland, Sweden",Female,*/*/*,$4966.48
"*, Skåne, Sweden",*,*/*/1999,$4542.92
"*, Skåne, Sweden",*,*/*/1999,$6552.66
"*, Skåne, Sweden",Female,*/*/*,$1900.48
"*, Skåne, Sweden",Female,*/*/*,$7758.57
"*, *, Canada",Female,*/*/1987,$5427.64
"*, *, Canada",Female,*/*/1987,$4100.69
"*, *, France",Female,*/*/1989,$4400.91
"*, *, France",Female,*/*/1989,$2004.14
"*, Pays de la Loire, France",Male,*/*/1994,$7145.67
"*, Pays de la Loire, France",Male,*/*/1994,$1265.76
"*, Setúbal, Portugal",Male,*/*/1994,$7159.29
"*, Setúbal, Portugal",Male,*/*/1994,$7189.04
"*, *, Mexico",Female,*/*/2001,$2690.43
"*, *, Mexico",Female,*/*/2001,$2184.75
"*, *, *",Male,*/12/1997,$4461.88
"*, *, *",Male,*/12/1997,$938.01
"Gävle, Gävleborg, Sweden",*,*/*/*,$2789.50
"Gävle, Gävleborg, Sweden",*,*/*/*,$6867.13
"Roanoke, Virginia, United States",Female,*/*/*,$3720.58
"Roanoke, Virginia, United States",Female,*/*/*,$4241.71
"*, *, Sweden",Male,*/*/1981,$3027.41
"*, *, Sweden",Male,*/*/1981,$5563.83
"*, Aquitaine, France",Female,*/03/1995,$5475.66
"*, Aquitaine, France",Female,*/03/1995,$3531.22
"*, Setúbal, Portugal",Female,*/*/1988,$1160.22
"*, Setúbal, Portugal",Female,*/*/1988,$1404.57
"*, *, Sweden",Female,*/*/2000,$6250.72
"*, *, Sweden",Female,*/*/2000,$4941.80
"*, Québec, Canada",Female,*/*/1995,$3488.65
"*, Québec, Canada",Female,*/*/1995,$7292.50
"*, Porto, Portugal",Male,*/*/1999,$3200.25
"*, Porto, Portugal",Male,*/*/1999,$3392.24
"*, Scotland, United Kingdom",Female,*/*/*,$809.15
"*, Scotland, United Kingdom",Female,*/*/*,$2367.97
"*, *, Portugal",Male,*/*/1994,$7857.47
"*, *, Portugal",Male,*/*/1994,$4504.29
"*, Västra Götaland, Sweden",Female,*/12/1984,$2350.70
"*, Västra Götaland, Sweden",Female,*/12/1984,$5701.55
"*, Kalmar, Sweden",Female,*/*/*,$7478.53
"*, Kalmar, Sweden",Female,*/*/*,$2923.67
"*, *, Canada",Female,*/09/1992,$4139.57
"*, *, Canada",Female,*/09/1992,$4234.16
"Tampa, Florida, United States",Female,*/*/*,$3912.08
"Tampa, Florida, United States",Female,*/*/*,$5805.91
"*, Pays de la Loire, France",Female,*/*/*,$1484.69
"*, Pays de la Loire, France",Female,*/*/*,$4627.31
"*, Michoacan De Ocampo, Mexico",Female,*/*/*,$2407.39
"*, Michoacan De Ocampo, Mexico",Female,*/*/*,$7184.92
"*, *, United States",Male,*/*/1987,$3191.09
"*, *, United States",Male,*/*/1987,$5407.86
"*, *, Sweden",Female,*/08/1988,$3011.36
"*, *, Sweden",Female,*/08/1988,$2250.17
"*, Manitoba, Canada",Male,*/*/*,$1129.83
"*, Manitoba, Canada",Male,*/*/*,$6289.41
"Eskilstuna, Södermanland, Sweden",Female,*/*/*,$886.98
"Eskilstuna, Södermanland, Sweden",Female,*/*/*,$7858.32
"Orléans, Centre, France",Male,*/*/*,$2655.12
"Orléans, Centre, France",Male,*/*/*,$7519.69
"*, *, *",Male,*/06/1984,$4443.31
"*, *, *",Male,*/06/1984,$5530.85
"*, *, *",Female,15/03/2004,$5477.25
"*, *, *",Female,15/03/2004,$5798.07
"*, *, Portugal",Male,*/04/2001,$7491.62
"*, *, Portugal",Male,*/04/2001,$6118.17
"*, California, United States",Male,*/*/1993,$2795.69
"*, California, United States",Male,*/*/1993,$953.73
"*, Île-de-France, France",Female,*/12/1986,$2918.64
