local,genero,data,salario
"*, *, *",Male,**/**/****,$2344.10
"*, *, *",Male,**/**/****,$6686.36
"*, *, *",Male,**/**/****,$4959.20
"*, *, *",Male,**/**/****,$996.76
"*, *, Portugal",Female,**/**/1981,$5751.78
"*, *, Portugal",Female,**/**/1981,$7539.41
"*, *, Portugal",Female,**/**/1981,$5772.69
"*, *, Portugal",Female,**/**/1981,$7847.46
"*, *, Canada",Female,**/**/****,$4234.16
"*, *, Canada",Female,**/**/****,$4139.57
"*, *, Canada",Female,**/**/****,$7292.50
"*, *, Canada",Female,**/**/****,$4240.55
"*, Stockholm, Sweden",Female,**/**/****,$2293.48
"*, Stockholm, Sweden",Female,**/**/****,$4391.85
"*, Stockholm, Sweden",Female,**/**/****,$4848.93
"*, Stockholm, Sweden",Female,**/**/****,$4941.80
"*, *, *",*,**/**/1994,$7857.47
"*, *, *",*,**/**/1994,$4504.29
"*, *, *",*,**/**/1994,$4511.71
"*, *, *",*,**/**/1994,$5268.85
"*, England, United Kingdom",Male,**/**/****,$3837.29
"*, England, United Kingdom",Male,**/**/****,$3585.70
"*, England, United Kingdom",Male,**/**/****,$1735.93
"*, England, United Kingdom",Male,**/**/****,$1127.28
"*, *, *",Female,**/**/****,$5663.67
"*, *, *",Female,**/**/****,$3472.73
"*, *, *",Female,**/**/****,$6432.81
"*, *, *",Female,**/**/****,$4117.83
"*, *, *",Male,**/**/****,$2106.68
"*, *, *",Male,**/**/****,$4370.17
"*, *, *",Male,**/**/****,$6999.54
"*, *, *",Male,**/**/****,$2729.76
"*, Västra Götaland, Sweden",*,**/**/****,$6062.26
"*, Västra Götaland, Sweden",*,**/**/****,$6059.58
"*, Västra Götaland, Sweden",*,**/**/****,$938.01
"*, Västra Götaland, Sweden",*,**/**/****,$5240.94
"*, *, Portugal",Female,**/**/****,$5964.41
"*, *, Portugal",Female,**/**/****,$3375.21
"*, *, Portugal",Female,**/**/****,$1133.30
"*, *, Portugal",Female,**/**/****,$5737.46
"*, *, United States",Female,**/**/****,$3358.51
"*, *, United States",Female,**/**/****,$1641.08
"*, *, United States",Female,**/**/****,$5750.62
"*, *, United States",Female,**/**/****,$3006.83
"*, *, *",Male,**/**/1994,$2666.96
"*, *, *",Male,**/**/1994,$5689.99
"*, *, *",Male,**/**/1994,$1809.17
"*, *, *",Male,**/**/1994,$2437.75
"*, *, France",*,**/**/****,$976.45
"*, *, France",*,**/**/****,$1934.60
"*, *, France",*,**/**/****,$2902.49
"*, *, France",*,**/**/****,$3988.74
"*, *, United States",Male,**/**/****,$3911.57
"*, *, United States",Male,**/**/****,$3911.50
"*, *, United States",Male,**/**/****,$2843.99
"*, *, United States",Male,**/**/****,$6488.85
"*, *, France",Female,**/**/****,$6674.63
"*, *, France",Female,**/**/****,$2004.14
"*, *, France",Female,**/**/****,$6430.52
"*, *, France",Female,**/**/****,$1353.19
"*, *, *",Female,**/**/1995,$1483.52
"*, *, *",Female,**/**/1995,$2007.00
"*, *, *",Female,**/**/1995,$5563.62
"*, *, *",Female,**/**/1995,$3667.75
"*, *, *",Male,**/**/****,$6749.86
"*, *, *",Male,**/**/****,$3435.80
"*, *, *",Male,**/**/****,$4263.66
"*, *, *",Male,**/**/****,$3533.25
"*, Aveiro, Portugal",Male,**/**/****,$962.88
"*, Aveiro, Portugal",Male,**/**/****,$5979.17
"*, Aveiro, Portugal",Male,**/**/****,$6842.64
"*, Aveiro, Portugal",Male,**/**/****,$1247.98
"*, *, Sweden",Female,**/**/****,$6075.15
"*, *, Sweden",Female,**/**/****,$7582.88
"*, *, Sweden",Female,**/**/****,$2803.76
"*, *, Sweden",Female,**/**/****,$4576.59
"*, *, United States",Male,**/**/****,$3306.51
"*, *, United States",Male,**/**/****,$3427.50
"*, *, United States",Male,**/**/****,$4941.92
"*, *, United States",Male,**/**/****,$5236.49
"*, *, France",*,**/**/****,$6148.93
"*, *, France",*,**/**/****,$4627.31
"*, *, France",*,**/**/****,$5054.87
"*, *, France",*,**/**/****,$1191.96
"*, *, Sweden",*,**/**/****,$3859.70
"*, *, Sweden",*,**/**/****,$2096.28
"*, *, Sweden",*,**/**/****,$1322.83
"*, *, Sweden",*,**/**/****,$7783.26
"*, *, *",Female,**/05/1983,$7373.73
"*, *, *",Female,**/05/1983,$7453.73
"*, *, *",Female,**/05/1983,$3229.72
"*, *, *",Female,**/05/1983,$2934.66
"*, *, *",Male,**/**/****,$2816.85
"*, *, *",Male,**/**/****,$6436.46
"*, *, *",Male,**/**/****,$1681.00
"*, *, *",Male,**/**/****,$3567.45
"*, *, United States",Female,**/**/****,$2781.81
"*, *, United States",Female,**/**/****,$4241.71
"*, *, United States",Female,**/**/****,$3041.78
"*, *, United States",Female,**/**/****,$3720.58
"*, *, *",Female,**/**/****,$2723.11
"*, *, *",Female,**/**/****,$4966.48
"*, *, *",Female,**/**/****,$6285.72
"*, *, *",Female,**/**/****,$7184.92
"*, Bretagne, France",Male,**/**/****,$6712.81
"*, Bretagne, France",Male,**/**/****,$4197.51
"*, Bretagne, France",Male,**/**/****,$5362.26
"*, Bretagne, France",Male,**/**/****,$3827.17
"*, Viana do Castelo, Portugal",Female,**/**/****,$7319.09
"*, Viana do Castelo, Portugal",Female,**/**/****,$5788.73
"*, Viana do Castelo, Portugal",Female,**/**/****,$4332.69
"*, Viana do Castelo, Portugal",Female,**/**/****,$1213.00
"*, *, Sweden",Female,**/**/****,$886.98
"*, *, Sweden",Female,**/**/****,$7858.32
"*, *, Sweden",Female,**/**/****,$4874.88
"*, *, Sweden",Female,**/**/****,$7718.13
"*, Centre, France",Male,**/**/****,$5620.85
"*, Centre, France",Male,**/**/****,$7519.69
"*, Centre, France",Male,**/**/****,$2655.12
"*, Centre, France",Male,**/**/****,$6336.71
"*, *, Sweden",Female,**/**/****,$3420.93
"*, *, Sweden",Female,**/**/****,$7201.47
"*, *, Sweden",Female,**/**/****,$2541.75
"*, *, Sweden",Female,**/**/****,$6250.72
"*, Västra Götaland, Sweden",Male,**/**/****,$6578.25
"*, Västra Götaland, Sweden",Male,**/**/****,$5977.38
"*, Västra Götaland, Sweden",Male,**/**/****,$3472.88
"*, Västra Götaland, Sweden",Male,**/**/****,$5383.93
"*, Stockholm, Sweden",Female,**/**/****,$7278.18
"*, Stockholm, Sweden",Female,**/**/****,$5609.60
"*, Stockholm, Sweden",Female,**/**/****,$6950.84
"*, Stockholm, Sweden",Female,**/**/****,$4664.24
"*, *, Portugal",Male,**/**/****,$5948.45
"*, *, Portugal",Male,**/**/****,$1374.14
"*, *, Portugal",Male,**/**/****,$1586.61
"*, *, Portugal",Male,**/**/****,$3526.69
"*, Braga, Portugal",Male,**/**/****,$3868.21
"*, Braga, Portugal",Male,**/**/****,$7794.99
"*, Braga, Portugal",Male,**/**/****,$3200.30
"*, Braga, Portugal",Male,**/**/****,$7386.55
"*, *, Canada",Female,**/**/****,$1939.10
"*, *, Canada",Female,**/**/****,$4100.69
"*, *, Canada",Female,**/**/****,$5469.92
"*, *, Canada",Female,**/**/****,$5427.64
"*, Manitoba, Canada",*,**/**/****,$7209.03
"*, Manitoba, Canada",*,**/**/****,$983.67
"*, Manitoba, Canada",*,**/**/****,$1129.83
"*, Manitoba, Canada",*,**/**/****,$979.70
"*, *, *",Female,**/**/2000,$5152.79
"*, *, *",Female,**/**/2000,$6964.99
"*, *, *",Female,**/**/2000,$1676.91
"*, *, *",Female,**/**/2000,$7274.50
"*, *, Portugal",Female,**/**/****,$6030.61
"*, *, Portugal",Female,**/**/****,$2270.42
"*, *, Portugal",Female,**/**/****,$3878.76
"*, *, Portugal",Female,**/**/****,$4466.02
"*, *, *",Male,**/**/1984,$5790.08
"*, *, *",Male,**/**/1984,$6662.13
"*, *, *",Male,**/**/1984,$5530.85
"*, *, *",Male,**/**/1984,$2420.72
"*, *, Canada",Male,**/**/****,$991.46
"*, *, Canada",Male,**/**/****,$4910.20
"*, *, Canada",Male,**/**/****,$6593.84
"*, *, Canada",Male,**/**/****,$7816.91
"*, *, Sweden",Female,**/**/****,$7553.46
"*, *, Sweden",Female,**/**/****,$2909.91
"*, *, Sweden",Female,**/**/****,$1430.78
"*, *, Sweden",Female,**/**/****,$1798.82
"*, *, *",*,**/**/****,$7700.50
"*, *, *",*,**/**/****,$1059.41
"*, *, *",*,**/**/****,$2926.75
"*, *, *",*,**/**/****,$4250.40
"*, *, Portugal",Female,**/**/****,$7046.63
"*, *, Portugal",Female,**/**/****,$2880.77
"*, *, Portugal",Female,**/**/****,$7327.12
"*, *, Portugal",Female,**/**/****,$4776.95
